Date,PM2.5,PM10,CO,AQI
2023-01-01,144,168,1.09,256
2023-01-02,129,117,1.2,205
2023-01-03,73,132,0.59,151
2023-01-04,130,117,1.73,113
2023-01-05,90,110,0.92,191
2023-01-06,124,196,1.39,151
2023-01-07,141,118,0.74,197
2023-01-08,108,133,0.77,295
2023-01-09,73,183,1.95,293
2023-01-10,61,89,0.67,158
2023-01-11,113,90,1.97,190
2023-01-12,145,142,0.74,278
2023-01-13,53,181,0.69,155
2023-01-14,82,156,1.24,242
2023-01-15,85,185,0.89,151
2023-01-16,99,165,1.01,209
2023-01-17,53,197,1.8,166
2023-01-18,56,114,1.57,276
2023-01-19,104,102,1.31,223
2023-01-20,119,84,0.89,158
2023-01-21,110,105,0.83,134
2023-01-22,101,175,0.55,154
2023-01-23,103,119,2.0,169
2023-01-24,55,128,1.06,188
2023-01-25,86,156,0.87,146
2023-01-26,110,193,1.77,147
2023-01-27,72,92,1.76,252
2023-01-28,64,140,1.85,159
2023-01-29,52,117,1.24,124
2023-01-30,107,170,1.8,224
