Transaction_Date,Region,Product_Category,Quantity_Sold,Sales_Amount
2023-01-01,East,Groceries,7,758
2023-01-02,West,Clothing,17,915
2023-01-03,North,Clothing,4,307
2023-01-04,East,Furniture,5,230
2023-01-05,East,Clothing,7,503
2023-01-06,West,Clothing,13,251
2023-01-07,North,Clothing,15,153
2023-01-08,North,Furniture,11,219
2023-01-09,East,Clothing,4,772
2023-01-10,South,Groceries,13,727
2023-01-11,East,Furniture,7,686
2023-01-12,East,Groceries,19,724
2023-01-13,East,Furniture,2,519
2023-01-14,East,Clothing,10,521
2023-01-15,West,Groceries,13,203
2023-01-16,North,Furniture,6,951
2023-01-17,West,Electronics,12,353
2023-01-18,West,Clothing,12,326
2023-01-19,West,Furniture,11,211
2023-01-20,East,Electronics,7,609
2023-01-21,South,Furniture,1,572
2023-01-22,North,Electronics,1,198
2023-01-23,South,Clothing,13,252
2023-01-24,West,Groceries,9,960
2023-01-25,West,Electronics,3,995
2023-01-26,South,Furniture,7,977
2023-01-27,South,Clothing,6,437
2023-01-28,South,Electronics,8,805
2023-01-29,West,Furniture,9,921
2023-01-30,West,Furniture,5,262
2023-01-31,North,Furniture,1,819
2023-02-01,North,Electronics,19,780
2023-02-02,West,Electronics,10,260
2023-02-03,South,Electronics,12,679
2023-02-04,South,Groceries,15,900
2023-02-05,North,Electronics,9,497
2023-02-06,West,Electronics,17,376
2023-02-07,North,Electronics,17,915
2023-02-08,North,Groceries,12,603
2023-02-09,East,Electronics,7,995
2023-02-10,East,Furniture,2,491
2023-02-11,East,Electronics,3,234
2023-02-12,South,Furniture,17,294
2023-02-13,West,Furniture,5,500
2023-02-14,West,Furniture,17,739
2023-02-15,West,Groceries,17,132
2023-02-16,West,Groceries,17,787
2023-02-17,East,Groceries,2,559
2023-02-18,South,Electronics,2,982
2023-02-19,South,Furniture,5,569
2023-02-20,East,Groceries,1,474
2023-02-21,South,Groceries,1,121
2023-02-22,East,Electronics,19,849
2023-02-23,West,Groceries,2,769
2023-02-24,East,Electronics,12,137
2023-02-25,West,Clothing,6,329
2023-02-26,West,Groceries,4,464
2023-02-27,North,Clothing,11,662
2023-02-28,East,Electronics,17,537
2023-03-01,North,Furniture,6,875
2023-03-02,East,Groceries,5,382
2023-03-03,East,Electronics,2,126
2023-03-04,North,Furniture,6,325
2023-03-05,North,Furniture,11,376
2023-03-06,East,Clothing,16,897
2023-03-07,South,Electronics,16,708
2023-03-08,West,Furniture,1,383
2023-03-09,North,Groceries,9,978
2023-03-10,West,Groceries,6,580
2023-03-11,South,Clothing,16,552
2023-03-12,South,Furniture,3,928
2023-03-13,South,Electronics,4,915
2023-03-14,North,Groceries,19,758
2023-03-15,South,Furniture,3,615
2023-03-16,North,Furniture,19,646
2023-03-17,South,Clothing,7,291
2023-03-18,West,Groceries,9,148
2023-03-19,West,Groceries,1,611
2023-03-20,East,Electronics,8,116
2023-03-21,West,Groceries,7,271
2023-03-22,East,Electronics,18,319
2023-03-23,West,Groceries,8,257
2023-03-24,North,Clothing,1,576
2023-03-25,West,Groceries,11,145
2023-03-26,East,Electronics,18,472
2023-03-27,East,Electronics,10,617
2023-03-28,South,Clothing,3,198
2023-03-29,North,Groceries,7,991
2023-03-30,West,Groceries,16,844
2023-03-31,South,Clothing,16,136
2023-04-01,West,Groceries,17,379
2023-04-02,West,Groceries,2,448
2023-04-03,South,Electronics,1,596
2023-04-04,South,Groceries,16,401
2023-04-05,South,Groceries,12,280
2023-04-06,South,Clothing,5,706
2023-04-07,South,Clothing,5,198
2023-04-08,West,Furniture,9,799
2023-04-09,South,Electronics,9,215
2023-04-10,North,Groceries,3,290
