Date,Close,Open,High,Low,Volume
2022-01-01,150.5,151.25,153.18,150.29,1551025
2022-01-02,150.36,150.84,151.59,150.05,1797917
2022-01-03,151.01,151.4,151.97,150.51,1300709
2022-01-04,152.53,152.93,154.67,152.21,1943026
2022-01-05,152.3,152.01,152.74,151.64,1906046
2022-01-06,152.06,151.65,153.99,151.08,1851587
2022-01-07,153.64,154.26,154.28,153.29,1186240
2022-01-08,154.41,155.03,156.97,152.61,1576775
2022-01-09,153.94,154.67,154.76,153.78,1916380
2022-01-10,154.48,155.31,157.09,153.43,1274486
2022-01-11,154.02,154.04,155.1,153.2,1302950
2022-01-12,153.55,153.55,155.54,151.59,1310914
2022-01-13,153.79,154.39,154.54,153.57,1078623
2022-01-14,151.88,152.18,153.29,151.08,1365321
2022-01-15,150.16,150.56,152.5,148.22,1917458
2022-01-16,149.59,150.18,151.23,147.86,1862061
2022-01-17,148.58,149.36,150.62,146.95,1907425
2022-01-18,148.89,148.57,150.29,148.05,1183675
2022-01-19,147.99,147.74,148.9,147.4,1913376
2022-01-20,146.57,145.76,147.83,144.42,1737334
2022-01-21,148.04,148.2,149.36,146.18,1630235
2022-01-22,147.81,146.89,149.62,145.77,1812831
2022-01-23,147.88,147.81,147.97,146.67,1652465
2022-01-24,146.46,146.54,147.1,145.9,1216454
2022-01-25,145.91,145.49,147.81,143.95,1998748
2022-01-26,146.02,146.2,147.99,145.65,1109575
2022-01-27,144.87,143.93,145.78,143.29,1897336
2022-01-28,145.25,144.32,146.49,143.47,1207606
2022-01-29,144.65,145.29,145.85,143.63,1972610
2022-01-30,144.36,144.08,144.73,143.59,1505815
2022-01-31,143.75,143.01,144.68,142.78,1292822
2022-02-01,145.61,145.65,146.36,144.38,1076218
2022-02-02,145.59,146.13,147.3,145.02,1587518
2022-02-03,144.53,143.97,144.69,142.8,1770044
2022-02-04,145.36,145.6,147.55,145.05,1336199
2022-02-05,144.14,143.31,146.11,142.35,1449589
2022-02-06,144.35,143.45,145.74,142.38,1686840
2022-02-07,142.39,142.45,143.52,142.28,1478446
2022-02-08,141.06,141.14,141.76,140.38,1462052
2022-02-09,141.25,141.53,143.16,140.99,1334402
2022-02-10,141.99,142.45,143.81,141.87,1039986
2022-02-11,142.16,143.12,143.44,140.18,1679520
2022-02-12,142.05,142.08,143.9,141.4,1347739
2022-02-13,141.75,141.39,143.39,139.77,1625646
2022-02-14,140.27,140.86,142.76,139.76,1472327
2022-02-15,139.55,139.09,141.0,137.73,1327073
2022-02-16,139.09,138.97,140.32,137.45,1597794
